Pallet: "pallet_template", Extrinsic: "do_something", Lowest values: [], Highest values: [], Steps: 50, Repeat: 20
s,extrinsic_time_ns,storage_root_time_ns,reads,repeat_reads,writes,repeat_writes,proof_size_bytes
160,30000,4000,0,0,0,0,0
160,26000,3000,0,0,0,0,0
160,25000,4000,0,0,0,0,0
160,25000,3000,0,0,0,0,0
160,25000,3000,0,0,0,0,0
160,25000,4000,0,0,0,0,0
160,24000,3000,0,0,0,0,0
160,24000,3000,0,0,0,0,0
160,25000,3000,0,0,0,0,0
160,24000,3000,0,0,0,0,0
160,24000,4000,0,0,0,0,0
160,24000,4000,0,0,0,0,0
160,25000,4000,0,0,0,0,0
160,24000,3000,0,0,0,0,0
160,25000,3000,0,0,0,0,0
160,25000,3000,0,0,0,0,0
160,24000,4000,0,0,0,0,0
160,24000,3000,0,0,0,0,0
160,24000,4000,0,0,0,0,0
160,24000,3000,0,0,0,0,0
180,30000,4000,0,0,0,0,0
180,26000,3000,0,0,0,0,0
180,25000,3000,0,0,0,0,0
180,25000,4000,0,0,0,0,0
180,25000,3000,0,0,0,0,0
180,24000,3000,0,0,0,0,0
180,25000,3000,0,0,0,0,0
180,25000,4000,0,0,0,0,0
180,25000,3000,0,0,0,0,0
180,24000,3000,0,0,0,0,0
180,24000,4000,0,0,0,0,0
180,24000,3000,0,0,0,0,0
180,24000,3000,0,0,0,0,0
180,24000,3000,0,0,0,0,0
180,24000,4000,0,0,0,0,0
180,24000,3000,0,0,0,0,0
180,24000,4000,0,0,0,0,0
180,24000,3000,0,0,0,0,0
180,25000,3000,0,0,0,0,0
180,25000,3000,0,0,0,0,0
200,28000,4000,0,0,0,0,0
200,25000,3000,0,0,0,0,0
200,26000,3000,0,0,0,0,0
200,24000,3000,0,0,0,0,0
200,24000,3000,0,0,0,0,0
200,24000,3000,0,0,0,0,0
200,24000,4000,0,0,0,0,0
200,25000,3000,0,0,0,0,0
200,25000,4000,0,0,0,0,0
200,24000,3000,0,0,0,0,0
200,25000,3000,0,0,0,0,0
200,25000,4000,0,0,0,0,0
200,25000,3000,0,0,0,0,0
200,24000,3000,0,0,0,0,0
200,25000,3000,0,0,0,0,0
200,25000,4000,0,0,0,0,0
200,24000,3000,0,0,0,0,0
200,25000,3000,0,0,0,0,0
200,25000,4000,0,0,0,0,0
200,25000,3000,0,0,0,0,0
220,30000,4000,0,0,0,0,0
220,25000,4000,0,0,0,0,0
220,25000,3000,0,0,0,0,0
220,25000,4000,0,0,0,0,0
220,25000,3000,0,0,0,0,0
220,24000,4000,0,0,0,0,0
220,24000,4000,0,0,0,0,0
220,89000,6000,0,0,0,0,0
220,30000,4000,0,0,0,0,0
220,26000,4000,0,0,0,0,0
220,25000,4000,0,0,0,0,0
220,26000,3000,0,0,0,0,0
220,26000,3000,0,0,0,0,0
220,25000,3000,0,0,0,0,0
220,25000,3000,0,0,0,0,0
220,25000,3000,0,0,0,0,0
220,24000,3000,0,0,0,0,0
220,25000,4000,0,0,0,0,0
220,25000,3000,0,0,0,0,0
220,25000,4000,0,0,0,0,0
240,26000,3000,0,0,0,0,0
240,25000,4000,0,0,0,0,0
240,24000,3000,0,0,0,0,0
240,24000,3000,0,0,0,0,0
240,25000,3000,0,0,0,0,0
240,25000,3000,0,0,0,0,0
240,24000,3000,0,0,0,0,0
240,24000,3000,0,0,0,0,0
240,24000,3000,0,0,0,0,0
240,24000,4000,0,0,0,0,0
240,25000,3000,0,0,0,0,0
240,24000,3000,0,0,0,0,0
240,25000,3000,0,0,0,0,0
240,23000,4000,0,0,0,0,0
240,24000,4000,0,0,0,0,0
240,24000,3000,0,0,0,0,0
240,24000,4000,0,0,0,0,0
240,24000,3000,0,0,0,0,0
240,24000,3000,0,0,0,0,0
240,25000,4000,0,0,0,0,0
260,30000,5000,0,0,0,0,0
260,25000,4000,0,0,0,0,0
260,25000,3000,0,0,0,0,0
260,25000,4000,0,0,0,0,0
260,25000,3000,0,0,0,0,0
260,24000,4000,0,0,0,0,0
260,25000,3000,0,0,0,0,0
260,25000,4000,0,0,0,0,0
260,24000,3000,0,0,0,0,0
260,25000,3000,0,0,0,0,0
260,25000,4000,0,0,0,0,0
260,24000,3000,0,0,0,0,0
260,24000,3000,0,0,0,0,0
260,25000,3000,0,0,0,0,0
260,24000,3000,0,0,0,0,0
260,24000,3000,0,0,0,0,0
260,25000,3000,0,0,0,0,0
260,24000,4000,0,0,0,0,0
260,25000,3000,0,0,0,0,0
